date,Volume,Speed
2021-11-06 01:30:00+11:00,109.0,39.06666666666667
2021-11-06 01:45:00+11:00,106.0,41.2
2021-11-06 02:00:00+11:00,98.0,41.86666666666667
2021-11-06 02:15:00+11:00,82.0,42.0
2021-11-06 02:30:00+11:00,67.0,41.46666666666667
2021-11-06 02:45:00+11:00,71.0,42.0
2021-11-06 03:00:00+11:00,64.0,42.0
2021-11-06 03:15:00+11:00,65.0,41.6
2021-11-06 03:30:00+11:00,57.0,42.0
2021-11-06 03:45:00+11:00,53.0,42.0
2021-11-06 04:00:00+11:00,61.0,41.13333333333333
2021-11-06 04:15:00+11:00,40.0,41.86666666666667
2021-11-06 04:30:00+11:00,55.0,43.408992004394534
2021-11-06 04:45:00+11:00,85.0,41.733333333333334
2021-11-06 05:00:00+11:00,89.0,39.41007741292318
2021-11-06 05:15:00+11:00,139.0,38.291317749023435
2021-11-06 05:30:00+11:00,210.0,42.95720926920573
2021-11-06 05:45:00+11:00,247.0,42.0
2021-11-06 06:00:00+11:00,262.0,40.733333333333334
2021-11-06 06:15:00+11:00,395.0,38.42697626749675
2021-11-06 06:30:00+11:00,454.0,33.66620152791341
2021-11-06 06:45:00+11:00,478.0,34.8
2021-11-06 07:00:00+11:00,377.0,38.2
2021-11-06 07:15:00+11:00,410.0,39.971472930908206
2021-11-06 07:30:00+11:00,510.0,34.532248179117836
2021-11-06 07:45:00+11:00,526.0,35.4
2021-11-06 08:00:00+11:00,505.0,35.21116282145182
2021-11-06 08:15:00+11:00,571.0,35.156899007161456
2021-11-06 08:30:00+11:00,582.0,33.06666666666667
2021-11-06 08:45:00+11:00,683.0,30.893023173014324
2021-11-06 09:00:00+11:00,656.0,31.371472930908205
2021-11-06 09:15:00+11:00,680.0,25.8756586710612
2021-11-06 09:30:00+11:00,725.0,24.779534912109376
2021-11-06 09:45:00+11:00,723.0,29.69922472635905
2021-11-06 10:00:00+11:00,676.0,25.682945760091147
2021-11-06 10:15:00+11:00,713.0,22.952403004964193
2021-11-06 10:30:00+11:00,715.0,24.83286819458008
2021-11-06 10:45:00+11:00,739.0,16.269302368164062
2021-11-06 11:00:00+11:00,695.0,14.508527247111003
2021-11-06 11:15:00+11:00,699.0,20.885116449991862
2021-11-06 11:30:00+11:00,696.0,14.643100865681966
2021-11-06 11:45:00+11:00,676.0,17.673023223876953
2021-11-06 12:00:00+11:00,706.0,17.937829462687173
2021-11-06 12:15:00+11:00,739.0,19.02790730794271
2021-11-06 12:30:00+11:00,708.0,24.792403157552084
2021-11-06 12:45:00+11:00,682.0,17.331783040364584
2021-11-06 13:00:00+11:00,681.0,25.127597045898437
2021-11-06 13:15:00+11:00,644.0,24.791317812601726
2021-11-06 13:30:00+11:00,611.0,23.20821673075358
2021-11-06 13:45:00+11:00,611.0,27.42914721171061
2021-11-06 14:00:00+11:00,664.0,25.295658747355144
2021-11-06 14:15:00+11:00,654.0,32.80294558207194
2021-11-06 14:30:00+11:00,605.0,27.48976732889811
2021-11-06 14:45:00+11:00,620.0,30.160930252075197
2021-11-06 15:00:00+11:00,618.0,31.667906951904296
2021-11-06 15:15:00+11:00,640.0,22.9069766998291
2021-11-06 15:30:00+11:00,617.0,29.119225056966147
2021-11-06 15:45:00+11:00,626.0,27.82248051961263
2021-11-06 16:00:00+11:00,522.0,-1.0
2021-11-06 16:15:00+11:00,-1.0,25.61550381978353
2021-11-06 16:30:00+11:00,-1.0,34.76155064900716
2021-11-06 16:45:00+11:00,-1.0,26.775503794352215
2021-11-06 17:00:00+11:00,-1.0,25.8324031829834
2021-11-06 17:15:00+11:00,-1.0,21.0865114847819
2021-11-06 17:30:00+11:00,-1.0,17.313333384195964
2021-11-06 17:45:00+11:00,-1.0,32.48263594309489
2021-11-06 18:00:00+11:00,-1.0,19.798449579874674
2021-11-06 18:15:00+11:00,-1.0,22.018914794921876
2021-11-06 18:30:00+11:00,-1.0,32.145426432291664
2021-11-06 18:45:00+11:00,-1.0,32.39581400553386
2021-11-06 19:00:00+11:00,-1.0,27.315348561604818
2021-11-06 19:15:00+11:00,-1.0,33.42139511108398
2021-11-06 19:30:00+11:00,-1.0,35.06077499389649
2021-11-06 19:45:00+11:00,-1.0,35.288682301839195
2021-11-06 20:00:00+11:00,-1.0,36.042170715332034
2021-11-06 20:15:00+11:00,-1.0,31.089922587076824
2021-11-06 20:30:00+11:00,-1.0,34.33565902709961
2021-11-06 20:45:00+11:00,-1.0,30.697984568277995
2021-11-06 21:00:00+11:00,-1.0,33.666666666666664
2021-11-06 21:15:00+11:00,-1.0,34.16651153564453
2021-11-06 21:30:00+11:00,-1.0,32.57178293863932
2021-11-06 21:45:00+11:00,-1.0,33.733333333333334
2021-11-06 22:00:00+11:00,-1.0,38.00434087117513
2021-11-06 22:15:00+11:00,-1.0,36.91441853841146
2021-11-06 22:30:00+11:00,-1.0,34.666666666666664
2021-11-06 22:45:00+11:00,-1.0,35.20589141845703
2021-11-06 23:00:00+11:00,-1.0,38.75906982421875
2021-11-06 23:15:00+11:00,-1.0,33.87224807739258
2021-11-06 23:30:00+11:00,-1.0,40.6
2021-11-06 23:45:00+11:00,-1.0,38.0
2021-11-07 00:00:00+11:00,-1.0,38.733333333333334
2021-11-07 00:15:00+11:00,-1.0,40.99596888224284
2021-11-07 00:30:00+11:00,-1.0,40.93333333333333
2021-11-07 00:45:00+11:00,-1.0,37.0
2021-11-07 01:00:00+11:00,-1.0,38.8
2021-11-07 01:15:00+11:00,-1.0,37.93333333333333
2021-11-07 01:30:00+11:00,-1.0,41.46666666666667
2021-11-07 01:45:00+11:00,-1.0,41.333333333333336
2021-11-07 02:00:00+11:00,-1.0,43.36279067993164
2021-11-07 02:15:00+11:00,-1.0,42.88868204752604
2021-11-07 02:30:00+11:00,-1.0,41.8
2021-11-07 02:45:00+11:00,-1.0,41.86666666666667
2021-11-07 03:00:00+11:00,-1.0,41.21007741292318
2021-11-07 03:15:00+11:00,-1.0,39.93333333333333
2021-11-07 03:30:00+11:00,-1.0,41.6
2021-11-07 03:45:00+11:00,-1.0,39.8
2021-11-07 04:00:00+11:00,-1.0,43.52186050415039
2021-11-07 04:15:00+11:00,-1.0,42.0
2021-11-07 04:30:00+11:00,-1.0,42.33596903483073
2021-11-07 04:45:00+11:00,-1.0,43.10434112548828
2021-11-07 05:00:00+11:00,-1.0,40.6
2021-11-07 05:15:00+11:00,-1.0,43.01612370808919
2021-11-07 05:30:00+11:00,-1.0,38.1482172648112
2021-11-07 05:45:00+11:00,-1.0,42.3482172648112
2021-11-07 06:00:00+11:00,-1.0,40.0
2021-11-07 06:15:00+11:00,-1.0,44.006821695963545
2021-11-07 06:30:00+11:00,-1.0,44.31364364624024
2021-11-07 06:45:00+11:00,-1.0,39.68155059814453
2021-11-07 07:00:00+11:00,-1.0,40.13333333333333
2021-11-07 07:15:00+11:00,-1.0,38.6
2021-11-07 07:30:00+11:00,-1.0,36.0
2021-11-07 07:45:00+11:00,-1.0,37.86666666666667
2021-11-07 08:00:00+11:00,-1.0,35.93333333333333
2021-11-07 08:15:00+11:00,-1.0,38.6238759358724
2021-11-07 08:30:00+11:00,-1.0,38.0
2021-11-07 08:45:00+11:00,-1.0,31.299844868977864
2021-11-07 09:00:00+11:00,-1.0,38.70046513875325
2021-11-07 09:15:00+11:00,-1.0,36.094573720296225
2021-11-07 09:30:00+11:00,-1.0,34.60682169596354
2021-11-07 09:45:00+11:00,-1.0,32.32139511108399
2021-11-07 10:00:00+11:00,-1.0,40.071938069661456
2021-11-07 10:15:00+11:00,-1.0,33.12341054280599
2021-11-07 10:30:00+11:00,-1.0,28.812868372599283
2021-11-07 10:45:00+11:00,-1.0,26.364651107788085
2021-11-07 11:00:00+11:00,-1.0,30.619534810384113
2021-11-07 11:15:00+11:00,-1.0,27.00744196573893
2021-11-07 11:30:00+11:00,-1.0,27.619224802652994
2021-11-07 11:45:00+11:00,-1.0,21.966356658935545
2021-11-07 12:00:00+11:00,-1.0,27.953798548380533
2021-11-07 12:15:00+11:00,693.0,32.536124038696286
2021-11-07 12:30:00+11:00,643.0,28.862015533447266
2021-11-07 12:45:00+11:00,744.0,24.52170550028483
2021-11-07 13:00:00+11:00,649.0,30.12248051961263
2021-11-07 13:15:00+11:00,653.0,30.389612197875977
2021-11-07 13:30:00+11:00,673.0,24.709922536214194
2021-11-07 13:45:00+11:00,612.0,26.477519480387368
2021-11-07 14:00:00+11:00,582.0,27.071317799886067
2021-11-07 14:15:00+11:00,697.0,29.297209548950196
2021-11-07 14:30:00+11:00,620.0,26.138604609171548
2021-11-07 14:45:00+11:00,596.0,24.076899337768555
2021-11-07 15:00:00+11:00,567.0,30.757364400227864
2021-11-07 15:15:00+11:00,568.0,32.75379867553711
2021-11-07 15:30:00+11:00,551.0,27.280620066324868
2021-11-07 15:45:00+11:00,565.0,29.436124165852863
2021-11-07 16:00:00+11:00,539.0,33.637674458821614
2021-11-07 16:15:00+11:00,634.0,28.362790679931642
2021-11-07 16:30:00+11:00,579.0,31.470232645670574
2021-11-07 16:45:00+11:00,618.0,28.898604583740234
2021-11-07 17:00:00+11:00,576.0,27.65503870646159
2021-11-07 17:15:00+11:00,635.0,29.355658721923827
2021-11-07 17:30:00+11:00,667.0,30.998759714762368
2021-11-07 17:45:00+11:00,623.0,36.845116424560544
2021-11-07 18:00:00+11:00,638.0,29.075658798217773
2021-11-07 18:15:00+11:00,595.0,27.533333333333335
2021-11-07 18:30:00+11:00,524.0,32.91379852294922
2021-11-07 18:45:00+11:00,495.0,36.147596995035805
2021-11-07 19:00:00+11:00,413.0,34.06666666666667
2021-11-07 19:15:00+11:00,419.0,37.33627904256185
2021-11-07 19:30:00+11:00,390.0,39.67193806966146
2021-11-07 19:45:00+11:00,363.0,33.723411051432294
2021-11-07 20:00:00+11:00,318.0,37.95240300496419
2021-11-07 20:15:00+11:00,335.0,34.67906977335612
2021-11-07 20:30:00+11:00,359.0,37.78821716308594
